"","TCGA-05-4390","TCGA-05-4405","TCGA-05-4410","TCGA-05-4417","TCGA-05-4433","TCGA-05-5715","TCGA-38-A44F","TCGA-44-5644","TCGA-44-5645","TCGA-44-6144","TCGA-44-6145","TCGA-44-6148","TCGA-44-6775","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7671","TCGA-44-7672","TCGA-44-8117","TCGA-44-8120","TCGA-44-A479","TCGA-44-A47A","TCGA-44-A47B","TCGA-44-A47G","TCGA-44-A4SS","TCGA-44-A4SU","TCGA-49-4514","TCGA-49-AAR0","TCGA-49-AAR2","TCGA-49-AARO","TCGA-49-AARQ","TCGA-49-AARR","TCGA-4B-A93V","TCGA-50-5049","TCGA-50-5066","TCGA-50-5942","TCGA-50-5944","TCGA-50-5946","TCGA-50-6597","TCGA-50-7109","TCGA-50-8457","TCGA-50-8460","TCGA-55-6543","TCGA-55-6642","TCGA-55-6969","TCGA-55-6971","TCGA-55-6972","TCGA-55-6980","TCGA-55-6985","TCGA-55-6986","TCGA-55-6987","TCGA-55-7281","TCGA-55-7570","TCGA-55-7573","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7728","TCGA-55-7815","TCGA-55-7903","TCGA-55-7911","TCGA-55-7913","TCGA-55-7995","TCGA-55-8085","TCGA-55-8087","TCGA-55-8089","TCGA-55-8090","TCGA-55-8091","TCGA-55-8096","TCGA-55-8097","TCGA-55-8203","TCGA-55-8204","TCGA-55-8206","TCGA-55-8207","TCGA-55-8208","TCGA-55-8299","TCGA-55-8301","TCGA-55-8302","TCGA-55-8507","TCGA-55-8510","TCGA-55-8511","TCGA-55-8514","TCGA-55-8614","TCGA-55-8616","TCGA-55-8621","TCGA-55-A491","TCGA-55-A492","TCGA-55-A493","TCGA-55-A494","TCGA-55-A4DF","TCGA-55-A4DG","TCGA-55-A57B","TCGA-62-A46V","TCGA-64-5774","TCGA-64-5778","TCGA-64-5781","TCGA-67-6215","TCGA-67-6216","TCGA-69-7761","TCGA-69-7763","TCGA-69-7764","TCGA-69-7973","TCGA-69-7979","TCGA-69-7980","TCGA-69-8255","TCGA-71-6725","TCGA-71-8520","TCGA-73-7498","TCGA-73-7499","TCGA-75-5146","TCGA-75-5147","TCGA-75-6206","TCGA-75-7025","TCGA-75-7027","TCGA-75-7031","TCGA-78-7152","TCGA-78-7153","TCGA-78-7159","TCGA-78-7163","TCGA-78-7540","TCGA-78-7633","TCGA-78-8655","TCGA-80-5608","TCGA-80-5611","TCGA-83-5908","TCGA-86-7953","TCGA-86-7954","TCGA-86-7955","TCGA-86-8073","TCGA-86-8075","TCGA-86-8076","TCGA-86-8281","TCGA-86-8358","TCGA-86-8585","TCGA-86-8668","TCGA-86-8669","TCGA-86-8673","TCGA-86-A456","TCGA-86-A4P7","TCGA-91-6828","TCGA-91-6831","TCGA-91-6835","TCGA-91-6836","TCGA-91-6840","TCGA-91-6847","TCGA-91-8496","TCGA-91-8497","TCGA-91-8499","TCGA-93-7347","TCGA-93-7348","TCGA-93-8067","TCGA-93-A4JQ","TCGA-95-7043","TCGA-95-7944","TCGA-95-7947","TCGA-95-7948","TCGA-95-8039","TCGA-97-7546","TCGA-97-7547","TCGA-97-7552","TCGA-97-7553","TCGA-97-7937","TCGA-97-7941","TCGA-97-8172","TCGA-97-8175","TCGA-97-8177","TCGA-97-8179","TCGA-97-8552","TCGA-97-A4LX","TCGA-97-A4M0","TCGA-97-A4M1","TCGA-97-A4M2","TCGA-97-A4M3","TCGA-97-A4M5","TCGA-97-A4M6","TCGA-97-A4M7","TCGA-99-8028","TCGA-99-8032","TCGA-99-AA5R","TCGA-J2-A4AD","TCGA-J2-A4AE","TCGA-J2-A4AG","TCGA-L4-A4E5","TCGA-L4-A4E6","TCGA-L9-A443","TCGA-L9-A444","TCGA-L9-A8F4","TCGA-MN-A4N4","TCGA-MN-A4N5","TCGA-MP-A4TH","TCGA-MP-A5C7","TCGA-NJ-A4YF","TCGA-NJ-A4YG","TCGA-NJ-A4YP","TCGA-NJ-A4YQ","TCGA-NJ-A55A","TCGA-NJ-A55R","TCGA-S2-AA1A"
"hsa-let-7a-1",3422.983841,7870.475061,6721.506537,4545.57764,11074.36309,8551.455147,6116.867478,4745.74745,18617.597998,12606.525183,14543.909477,12237.490254,13343.761007,8945.473764,5590.711158,19422.803026,13179.514187,13518.874079,8882.757413,11583.847046,8989.213411,3272.723707,5958.769523,3675.756504,5847.421573,7138.143361,5072.545421,4450.026609,4039.321049,6842.620924,8973.559514,2772.30871,5612.290197,7875.890489,5643.354045,6874.548689,13377.582792,9967.419262,16416.705349,13838.331266,5218.166878,11011.405507,7476.474938,8072.873194,10213.585695,19591.059939,5488.614696,4570.504281,6864.392779,9670.769067,6478.148618,5067.620957,9932.859463,5520.893039,14621.348697,11261.563832,18319.270044,12736.121354,8303.663952,15785.227187,21633.152754,13565.560934,8262.896804,11305.46866,8018.652278,10305.929355,4419.733463,4163.409924,4554.45443,7866.024138,6315.665355,4049.912014,7063.795996,3975.425448,5431.141465,3714.56032,3717.2615,7599.506727,3173.965003,4086.114512,5593.846497,5706.134094,4495.036837,4489.355549,6534.361914,4258.573502,6485.242526,7417.465525,5998.686052,7586.99738,2777.335887,4525.40599,3903.097823,2235.568255,3994.274441,4484.086717,9895.629429,5803.508641,5448.643957,12160.864236,13375.967409,11924.171082,19268.207049,18224.80896,17252.120175,8827.845723,6241.670023,6409.637009,7349.490444,2820.661108,4156.635827,4559.29508,10013.632596,5737.604612,16056.067434,11245.493291,7787.597573,6617.91632,5070.780832,7349.214015,21061.595141,10463.725751,10789.862225,10089.562987,14678.045521,16375.467824,5668.949722,4054.96107,7046.858638,4904.841588,4954.623342,4491.823162,5751.465316,7106.596521,5327.855654,6673.694447,5758.725792,2242.25733,6284.227516,7580.862534,6375.487012,3788.825522,2979.331296,6993.732217,6661.937056,7929.863539,6147.391743,8410.555907,3352.549589,5584.294868,9809.294274,8919.4675,3178.718048,6230.853893,11037.886262,2274.96458,4275.444017,2452.476554,4059.947669,13662.629674,7556.900496,5308.641792,21602.581355,16996.70544,19755.003185,20653.149149,8381.345247,5917.979075,4958.290798,4002.373256,5039.496348,4279.973396,5352.737235,4038.349336,4299.358571,10135.695229,9280.720316,6958.834621,7359.342252,4552.090049,4508.555229,4892.982846,5133.844989,10860.572122,4439.530319,7564.405715,4407.083303,3301.02842,7164.598219,3667.615153,2726.750403,5606.836726,5427.748524,4228.736349,6607.456961,8307.533705,3502.226312,8878.048489,7839.721735,3059.898595,6530.299678,5337.705508,9869.306676
"hsa-let-7a-2",6919.035428,15632.038221,13450.273027,9100.683742,22111.654156,17161.663513,12332.147433,9600.272274,37245.485751,25296.96754,29106.39355,24482.266063,26659.956624,17860.820794,11209.291712,39229.061584,26470.318712,27156.22096,17781.363416,23153.465301,18187.736276,6616.756353,11875.793428,7376.752056,11634.829979,14424.795424,10165.807999,8921.710621,8053.114433,13778.657154,17896.679492,5580.497854,11329.369406,15537.46906,11260.029708,13759.286277,26935.893785,20078.938091,32862.578065,27670.706207,10445.871056,22004.112788,15010.92475,16115.738956,20387.478605,39416.232851,11086.072795,9116.088194,13770.40017,19402.947172,12924.627494,10142.805931,20245.253075,10992.049753,29161.228956,22569.319475,36616.235167,25449.07392,16575.93555,31646.007662,43289.721037,27159.434782,16552.911971,22691.48194,16052.801899,20660.099433,8919.160936,8553.943413,9172.866063,15734.177071,12741.170496,8104.303311,14234.221394,7895.085256,10632.395949,7368.998158,7378.638259,15265.573137,6242.192649,8124.706803,11137.383728,11386.437668,8996.437773,8973.616311,13232.053288,8537.827722,12920.991924,14966.213626,12093.491579,15227.85294,5649.295082,9113.205594,7800.908848,4537.025215,7956.509878,8876.819869,19893.822421,11552.831013,10885.378132,24416.921342,26750.669528,23854.225802,38906.524439,36399.022496,34441.789515,17477.94147,12534.601442,12779.787217,14713.326835,5634.24618,8234.769431,9167.236585,20209.574646,11417.077557,32090.951418,22569.181513,15720.108909,13240.775544,10100.190712,14695.162136,42061.153184,21092.36998,21741.055543,20181.367104,29572.259746,32864.01337,11346.255316,8022.030944,14299.767346,9969.267122,9956.976896,9010.835463,11308.068383,14305.801624,10575.685667,13431.127624,11553.847461,4500.009316,12628.105775,15173.310348,12867.626008,7615.338438,5982.134702,13945.661426,13466.385235,15981.489643,12332.182366,17094.119764,6749.151784,11220.275197,19702.574096,17864.231081,6360.01264,12386.737921,22237.346599,4707.534613,8646.518149,4891.441796,8227.20162,27112.252192,15177.427745,10596.885535,43290.924048,34253.523846,39463.731873,41351.645029,16713.885969,11829.799796,9946.28256,8041.9804,10100.144248,8435.839334,10713.838495,8158.370512,8491.366824,20412.707793,18760.498244,13999.98921,14724.939713,9139.856855,8980.357543,9810.779279,10229.227705,21643.122362,8913.021224,15245.718654,8754.872663,6581.82526,14309.479463,7395.312204,5437.77119,11136.753275,10922.234902,8532.751028,13282.938669,16666.293146,7087.585849,17593.515893,15754.459452,6187.358494,12763.671661,10743.820568,19753.977477
"hsa-let-7a-3",3459.606604,7909.41853,6768.99873,4612.276871,10989.594742,8673.283393,6165.187118,4799.427746,18718.971146,12618.616475,14657.678884,12360.560087,13495.740302,8944.095416,5663.006026,19487.069316,13327.680491,13559.286704,8923.699604,11565.859706,9062.194392,3333.158032,6003.019878,3677.219637,5957.940871,7209.501847,5070.650559,4458.86055,4073.485893,6917.353169,8999.999593,2809.973254,5662.453512,7902.860731,5683.274251,7022.45206,13598.411218,10024.652356,16345.030503,13895.631119,5303.715307,11122.772959,7513.016677,8127.061372,10223.854476,19702.408161,5631.493821,4659.2916,6933.398071,9727.560884,6521.252371,5207.555264,10065.445989,5498.519741,14721.2885,11350.098138,18327.93215,12944.856984,8310.313563,15928.685158,21619.173334,13642.060249,8337.985044,11412.534069,7997.445385,10368.19078,4431.556201,4268.356675,4513.975188,7910.979287,6389.788863,3987.841945,7067.010953,3958.43724,5379.453814,3719.605563,3690.399773,7637.053215,3194.866574,4058.503836,5619.098252,5754.867675,4525.918371,4530.793141,6705.130811,4252.369286,6459.161085,7522.30269,6183.560246,7658.370415,2747.943361,4640.704789,3869.69488,2266.462129,3997.808155,4453.784799,10025.183403,5813.73497,5463.490398,12241.961811,13394.609343,12002.619576,19532.423429,18256.852729,17265.348677,8728.692675,6281.346026,6520.200054,7413.111596,2821.043597,4101.741157,4640.266817,10035.443545,5808.674395,16152.545428,11328.382388,7894.617645,6660.088749,5056.990515,7449.232018,21145.594279,10646.230323,10859.096127,10255.033016,14733.039982,16398.047809,5709.506272,4132.57161,7198.571745,4910.944224,4996.671386,4477.34199,5841.576486,7182.624527,5375.401113,6744.637146,5776.683229,2247.485588,6340.975547,7705.302079,6433.910052,3800.628717,2999.549847,6956.554223,6734.108499,8008.795051,6187.349494,8560.710279,3436.347073,5695.078844,10000.269516,8868.009034,3205.95579,6234.241086,11168.469406,2320.348349,4279.104499,2474.071559,4106.640403,13641.741563,7615.493044,5322.900622,21719.666869,17232.074955,19894.247351,20632.190577,8323.112575,5940.22861,5047.787081,4047.161847,5070.806211,4296.36693,5392.048154,4109.151183,4224.372279,10189.530404,9304.579961,7006.788001,7333.249097,4601.861328,4523.967742,4820.681184,5119.700798,10856.319745,4503.696234,7615.743235,4446.55845,3308.136814,7260.431884,3683.658821,2777.977941,5623.698538,5509.826595,4226.068257,6582.098624,8347.873972,3564.523077,8874.435576,7894.053163,3083.466492,6497.073311,5397.31236,9925.046293
"hsa-let-7b",8533.81481,19036.995517,13740.217402,9261.664592,29036.211004,23201.564541,19350.021046,4575.418769,30331.151016,16011.757789,28388.079056,38801.295349,21096.500516,24279.390203,14629.777152,22778.727491,20116.61196,12533.869503,14357.690604,16124.173858,10805.56407,7028.030652,25786.407432,5023.302226,20266.030646,12131.488882,5513.795606,8470.609692,6852.930326,12848.722852,10216.446624,2787.176293,10409.195705,20619.184542,14512.650227,8274.043254,22518.401291,18991.364049,21042.107051,21385.829687,20228.899787,15577.882013,8177.795237,25006.09617,11748.570887,15814.561175,17940.370833,12317.878757,12785.392867,23474.181655,16464.97565,15514.608412,17231.239946,9480.323006,23277.807764,11427.469424,21560.846418,18050.002144,9338.683745,25409.223657,40416.950187,46844.260326,21630.768449,10526.052133,9519.039915,14143.799653,13375.45731,13603.91843,9682.364787,31732.700438,18827.860262,15530.955047,12673.895676,17939.917507,13460.941119,11784.006411,11926.606354,13761.397432,14069.830919,12569.760098,20350.389469,19563.347112,9971.605681,6116.120701,10865.297833,11606.019082,17253.386121,16126.506031,18415.8491,19258.896853,3841.139069,9127.006947,4508.436045,7909.378697,6530.067428,7696.388519,14954.712114,12831.653493,8555.628881,23938.574692,23062.603242,13833.034148,14869.63232,27848.058569,23290.162271,18954.757593,12400.020441,29874.785029,11207.8014,6088.259976,11360.921366,16158.219091,16562.18219,14746.48573,46751.655108,16458.24156,19200.703638,19728.388523,13800.72775,8919.292547,35556.540703,24780.760032,11953.313808,8748.24725,44269.82711,18948.697206,14754.024524,8879.20185,15636.94085,9630.723358,13294.455181,7738.265522,10279.993326,28570.354011,19103.461268,20642.631707,16148.386155,3224.02915,10298.678961,23536.111184,11009.346328,10705.704733,5422.987191,10331.569009,14258.439342,13031.041959,12367.416048,25389.466316,7189.190173,14705.646153,44084.381928,24878.869023,8004.031186,20241.863624,17847.466251,10113.979274,8797.741848,4363.807696,11470.751498,22650.964309,23384.020316,8330.424631,24556.481596,43076.915526,38323.977004,18706.097744,27339.130165,21756.469698,19627.813478,15393.51499,25650.152778,13479.057838,7740.546979,6717.655748,6348.261481,19017.683428,14381.571628,10247.837053,11965.141689,12641.170949,10632.460373,10274.964502,22413.827758,17536.619903,11444.064547,8662.062894,10696.302592,4002.298745,12887.106108,4080.494027,4952.491242,8410.634006,10986.600557,7859.819934,13766.155877,17212.060673,4295.287516,13343.110623,20585.543869,5348.079504,10424.640885,7412.879054,16806.923861
"hsa-let-7c",193.958418,2207.705251,1314.202752,714.383865,974.270885,968.668882,1324.135461,236.602595,4748.531709,2253.491947,1637.176592,6409.158548,2422.797106,4099.204772,1267.091735,2319.401014,637.711305,1372.540387,458.099724,2993.41556,875.47985,253.681547,1890.380738,449.181907,475.35182,278.877265,737.859241,411.775644,1382.524567,994.220104,1884.77088,690.84704,670.742,1741.175584,2532.693675,817.741305,2498.7799,1408.74757,4535.412462,3239.645494,749.080196,1341.135356,644.223832,2127.031656,980.569789,1729.233445,598.106905,758.232811,1882.172214,1812.028322,2332.455958,1722.43463,1725.155226,982.332659,1956.895224,1170.192578,4241.399883,1877.971072,862.129889,2391.774579,1939.994038,1078.885359,904.477162,669.404365,460.026435,833.40007,280.461612,997.777322,850.33394,1503.430429,804.839409,453.047512,1035.751928,927.519254,1046.551868,406.142079,703.808097,1300.108105,917.82486,673.010219,1282.400673,1268.967351,498.695047,551.935144,852.999091,619.387512,541.960006,1401.764192,1470.11808,1692.81075,657.20657,1627.121958,539.012955,155.836359,672.347936,1276.860112,2382.308649,599.900419,340.978707,992.030798,1240.321272,710.260595,1765.744352,1361.354203,1923.362673,1411.117153,517.057666,1458.921183,1327.935598,851.228056,566.296834,1213.149937,1640.03299,2795.890639,3583.186092,3197.592041,1389.040612,2884.131409,436.693385,1793.656191,1299.382889,1778.931078,490.755664,610.334145,1375.099603,1683.542391,1438.229012,498.527633,3720.468062,516.740753,874.826609,6063.916938,1730.538322,2321.887209,2585.422535,1626.413115,1047.944755,870.267333,763.558534,2784.556303,683.025506,471.299497,614.225633,956.844175,761.280497,358.404133,1495.364704,295.394602,2780.353383,2676.730299,4185.393266,2257.935129,1096.503134,1791.373317,2001.773403,673.330104,663.004964,297.133407,234.623735,1307.956771,681.57537,1137.240748,3546.474586,2224.456631,2173.91975,3148.739751,1423.927472,1492.308117,1278.32164,727.140078,1920.338247,1244.542451,1553.796933,665.126065,426.367145,2343.053641,1668.811762,1024.60388,1348.265529,1558.031917,1288.328005,568.145599,1066.769762,2201.437341,1602.678445,869.942238,1099.618374,267.384942,1376.978461,405.675595,232.755823,541.093657,490.886962,457.38732,1878.328282,654.408775,448.196519,1004.763563,774.705493,494.663966,3201.597819,626.249197,2002.517215
"hsa-let-7d",391.294663,356.851987,425.31225,459.873643,943.52823,429.961432,261.989976,856.05117,649.016814,858.662183,1138.274524,627.118135,477.06079,848.27429,458.327389,650.92571,511.847232,289.907415,297.161065,419.346646,378.041482,561.379614,525.716484,259.340368,405.831616,276.473151,267.933479,268.437824,693.853437,524.732857,695.374084,186.736847,366.069103,1371.422274,505.331392,1963.828094,519.454984,620.848331,817.590681,495.685416,637.045653,1122.304476,400.553678,533.433086,223.148497,765.945295,337.520909,679.250226,841.134151,1503.367108,1043.456316,770.178973,1136.376442,986.195675,326.554278,526.201728,541.814689,615.813413,377.326804,609.649741,852.395146,412.442927,317.102537,339.61344,575.033044,561.778662,761.252947,1245.26369,366.741931,1124.504852,625.03486,493.361062,432.411695,702.425491,916.102082,599.122632,321.568824,488.348154,435.859227,581.6826,672.27942,686.919631,266.97921,584.032296,796.527,986.883875,862.94655,391.48653,787.650933,625.864157,218.639142,284.365368,208.107543,208.8754,474.931128,364.220093,524.558643,276.907765,476.391303,741.094851,797.38554,605.260303,403.641508,374.743439,551.905412,597.336652,297.728723,955.5806,469.673793,263.725789,614.365224,454.931226,574.906548,347.621984,585.782766,701.901409,924.546852,653.830403,601.636397,969.970513,663.61583,567.053821,504.602444,724.258205,646.601545,302.073981,485.048186,966.718899,741.61886,687.767143,624.583923,356.561921,197.386372,755.831611,429.014837,485.872806,748.11968,370.445854,349.631726,440.922156,489.705414,632.816899,284.221699,344.919289,670.974606,404.753451,337.967776,817.112794,1002.968918,1148.817474,392.703902,580.250518,895.348732,591.403847,412.059022,656.826915,392.35801,740.466152,537.111443,1015.523219,311.141814,384.988422,622.682049,494.051041,599.605293,445.464936,861.566243,728.274968,567.465446,538.542336,334.528489,522.806611,343.641955,375.161654,370.308029,448.83038,583.879606,471.541567,320.98156,289.671784,262.605509,336.694719,665.273257,702.012059,442.140712,356.312888,373.145724,722.868904,642.406535,183.519912,328.196338,519.116464,311.865042,383.252458,560.298504,851.414417,396.743219,358.425886,409.829962,407.724614,894.738605,378.767587,329.256778
"hsa-let-7e",1429.532205,1341.34288,1073.414309,964.631354,1854.505415,1969.3425,879.506111,2483.776272,2009.55118,4005.465986,2721.758921,1939.414672,2344.325517,1126.700437,750.266208,3340.622967,1894.80634,2792.93783,1964.847827,2007.333465,1973.989578,904.197333,1811.342368,983.95711,554.37906,1656.871904,779.167231,980.994915,999.801537,1437.591243,1446.06895,1016.149764,963.566507,1658.234841,851.566157,1862.267779,1890.993545,918.344209,2526.934028,3010.446085,906.503094,1506.33726,2059.864855,889.734924,1693.756335,3171.422738,790.975996,894.00115,955.502254,809.167954,1270.409092,982.781867,1438.835108,790.630513,2133.053709,2962.049962,4926.355863,2502.878776,2866.601212,3532.349399,2135.00695,2370.934289,1109.346139,2801.381144,2052.990315,2505.903548,1092.289605,662.574265,883.526919,1327.241305,1959.01337,972.004479,1087.727063,1107.188025,1414.272585,900.996351,684.047747,1569.150635,644.874935,689.204943,986.372405,823.304777,991.65197,1243.976902,945.315742,446.910321,668.465259,1804.899296,983.666677,828.89052,816.029343,510.074987,699.779637,954.155951,953.39597,1133.411133,2185.953407,663.64897,1385.613472,1522.986646,1362.210842,1980.522748,1946.997019,4491.18712,3687.368042,1744.448739,1890.323467,799.491596,3132.905084,195.069112,1073.432572,956.448931,1963.135885,827.320554,1354.862743,1479.650665,1755.839699,1020.131077,1061.043246,2270.068476,2075.752279,1607.368964,3821.71143,2744.262523,2321.432865,2489.310066,935.653875,1298.902118,1689.82578,1033.786637,1168.935632,1677.599459,964.719584,1205.326975,940.957801,571.493304,887.450156,839.278021,698.102366,1018.959516,946.22033,826.844855,605.859336,1440.158104,1596.5642,2052.066346,1145.783591,1330.913755,6930.807824,1639.932311,1197.712871,1097.607355,344.8887,904.15464,3295.118206,960.48559,745.594609,1758.433889,317.858607,1001.597812,1099.554193,1084.265232,2941.431393,3087.410021,2636.524488,3381.189376,2299.358636,883.624402,1105.426622,602.487494,667.804583,718.267977,778.571272,631.340952,711.430642,1455.792859,1033.122641,1377.460833,1037.471023,800.157741,1127.484601,916.819292,910.687375,1313.614874,797.91051,980.749955,662.142782,851.36678,1208.696378,1236.999513,629.184689,1827.89622,1164.275069,524.661371,1486.481591,879.588572,1852.744056,1446.535615,529.800375,494.402101,978.068224,1427.797869,1390.989298
"hsa-let-7f-1",9.600142,8.178128,14.368657,9.026964,46.566079,26.631678,22.829922,13.85298,41.159023,38.259013,45.27558,21.96875,18.376927,11.420592,15.176404,57.227601,14.132106,22.971387,13.584506,24.430566,25.689305,10.696341,13.080294,8.778799,25.55016,15.517465,20.969806,15.245673,21.305043,16.07145,34.168718,11.101129,9.540262,13.340119,13.047092,55.217259,32.338891,29.633378,58.786941,31.09202,15.340114,70.272452,24.771083,22.724075,20.636299,52.486379,7.799853,12.664449,22.48919,32.782268,17.274405,15.66832,21.981817,19.154119,20.610154,28.484951,28.584948,21.436543,15.773498,26.117186,32.851637,12.931379,27.00442,25.047412,20.799068,27.803766,9.852281,12.530955,10.794464,14.901568,17.613507,8.318669,16.074784,12.925811,12.306584,7.567865,8.645153,20.11419,6.762273,18.318621,18.453206,18.770178,14.188813,16.642967,18.429515,16.751382,21.563395,11.648574,17.562104,20.433998,9.28185,16.101578,13.937919,10.389091,16.019502,20.748604,35.897247,14.874662,13.704407,27.992064,24.715325,39.525972,46.090952,33.730283,28.302842,21.765303,16.663921,16.259271,14.844935,12.813363,11.94599,12.676593,27.978184,16.801579,41.269312,29.647367,26.792024,18.930267,12.708724,24.766363,35.546805,21.884917,23.829343,28.014113,23.569055,19.913058,15.285132,24.100558,20.174615,20.748964,22.728673,23.790497,8.077192,15.771767,16.447412,13.925092,18.278106,8.175095,14.368427,14.447527,14.169043,17.808329,21.148139,25.081805,15.569981,14.990869,11.022828,18.564541,53.968506,16.473454,18.648331,25.989124,14.170987,18.290841,17.601645,9.901913,14.870712,8.083692,16.530968,28.36657,19.85714,12.773536,36.342127,27.401838,29.587633,48.204717,19.133592,24.832071,13.965354,19.426377,11.132396,13.766365,18.042397,18.214583,20.083034,36.50188,36.812024,25.974747,20.910269,42.870837,14.226935,11.551153,9.429461,47.33081,20.082462,28.97266,15.107772,22.145379,27.970591,9.331521,12.966306,21.598276,16.447244,20.773007,54.540551,30.522001,21.686928,35.132464,14.065497,18.592452,36.127082,18.108411,29.656335
"hsa-let-7f-2",5539.103955,5827.111249,8218.569357,6771.727149,12251.399865,17343.646645,5865.295039,14669.675702,32205.410963,22205.567119,18367.374185,6207.180553,17379.819917,9460.975641,6495.500748,31883.118592,13503.006937,18338.824133,9475.004132,18092.847965,18734.509787,5429.81908,4542.758158,4675.076513,5447.531855,8372.32825,7994.548861,5453.818792,6066.179223,11452.113808,13730.739928,3103.756701,5061.109228,8334.384593,6186.853049,15618.924664,21716.951178,15646.423825,23714.425705,27004.908131,3727.303094,16870.730743,16687.277027,6564.635571,11441.593596,34259.520236,5220.583386,3735.876246,11374.436461,11266.942315,6931.149322,4035.132696,9535.934636,7692.551607,24157.822448,21737.481923,28631.289907,22617.934548,12485.805785,22233.187295,36500.266133,13764.29581,7429.405945,21522.602711,16595.61678,21565.028851,3941.350463,4678.745463,4462.161759,6002.702067,5570.760796,3254.519277,8718.962941,3029.44075,5036.838527,3263.22127,3117.812752,10052.096971,3113.104547,4485.141872,4215.683399,5662.050007,5858.93649,6427.921601,7406.974066,3820.762697,5718.612476,6495.968885,4460.774474,6258.057746,3965.92839,4589.237245,4681.939101,1898.469605,5480.318863,6454.30844,14006.269063,5251.818062,10388.26707,20080.831551,18451.55033,19807.490413,30443.073469,23671.912288,24580.402682,12458.217672,7370.214241,4043.680765,7911.103039,2139.066682,6981.862573,3331.091689,12591.385999,6528.357023,17691.034659,19785.664362,9992.536719,6357.625143,5240.185418,8579.503494,32251.140668,13377.155273,15878.071047,24247.148724,21018.12127,20125.167794,3901.58087,5266.224795,12613.707494,6390.375898,6349.254693,7228.616924,3214.469885,5194.168652,4937.540609,5717.379343,5370.716871,2943.319218,5497.447282,4787.038006,8706.585713,3860.680059,4061.372366,10027.563303,9132.068794,10696.596599,7996.667957,15275.886819,6497.271664,6732.906424,5728.848913,7528.009779,3393.859398,5280.407619,19034.448977,2279.090377,4452.062316,3941.608031,3723.527975,17494.437573,6626.131997,7374.785932,33188.87718,21433.962696,26185.755925,37949.49708,12314.546272,4309.25821,4096.766135,3355.636793,3716.132817,3564.437675,7078.355145,5464.668703,6917.52158,12897.398925,11559.316442,9350.70924,8025.075165,4864.371795,5169.317322,5727.660605,4040.275708,15297.835595,3834.770644,9511.419294,4702.740777,5439.83456,8604.854411,5082.89583,3499.414709,8936.38152,6560.236132,5745.928205,6876.939611,9237.921132,6038.746462,12771.024537,6188.818537,3537.017572,7652.87623,6454.893836,11840.559683
"hsa-let-7g",634.14269,359.837652,519.842889,382.392206,558.566904,591.854,586.928473,555.221125,1130.729822,1105.541096,800.739269,480.958698,690.085278,229.396367,363.681818,1593.803995,723.387201,771.243056,604.887856,868.493214,942.914277,461.547101,440.555423,595.129449,601.320052,669.655127,722.321373,556.965741,933.775096,623.371385,983.367563,426.600525,482.706505,959.618589,533.17817,1440.25016,1163.830484,833.947185,1098.637477,886.539502,470.430177,601.630814,813.405056,495.268294,520.449437,1210.152052,317.312199,1101.807053,758.289357,1328.259008,642.032049,487.338782,1133.872185,1130.575881,754.312189,992.739032,1137.117879,1067.496528,670.682929,742.101184,1178.465123,504.596016,602.984775,1097.911562,915.158972,1203.641676,513.632273,476.176304,884.606365,527.44036,704.784905,489.521677,491.888396,624.316663,338.67718,620.775134,302.889118,621.467522,258.810627,653.364162,536.114186,731.864736,446.738952,418.961231,506.896189,509.159283,745.27202,308.372381,356.71844,415.831853,406.85444,528.476791,545.741605,447.277689,657.741919,713.513133,733.869282,423.263812,520.114889,1394.143743,753.522166,830.045411,1114.133525,1279.052314,910.920805,776.295811,431.040092,482.435806,553.379269,211.898604,355.251002,298.216847,734.803371,460.381247,570.855568,856.68537,816.934691,820.837429,510.647342,937.855889,1114.403656,678.041613,1030.136069,863.581728,1165.358822,1195.13908,361.748122,977.252359,912.161608,456.172085,457.300893,398.084466,431.372519,458.796663,467.714629,540.63229,578.96703,233.750669,456.161276,462.593446,521.34314,366.520259,460.378728,696.242443,559.237093,512.748892,415.324408,654.127048,903.484805,800.403929,323.555346,615.075945,400.652454,712.439533,704.065799,587.513522,722.03025,546.688516,551.612291,654.494142,628.017027,490.147297,1423.729432,967.039475,1385.570602,1266.278857,586.208895,649.010998,405.191965,569.300766,258.410734,346.786295,464.442378,637.804191,383.455914,841.786373,854.175302,748.272529,582.091838,547.484076,500.709074,630.179569,632.270145,953.641875,761.174298,841.47787,611.296195,529.02849,746.952352,465.921204,668.933857,863.552132,439.014886,542.38513,598.134753,803.817171,628.283071,675.614731,612.814385,511.42336,506.042848,562.115243,748.911782
