"","TCGA-44-2655","TCGA-44-2657","TCGA-44-2665","TCGA-44-2668","TCGA-44-3396","TCGA-44-3398","TCGA-44-6144","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7667","TCGA-44-7670","TCGA-44-7671","TCGA-44-7672","TCGA-49-6742","TCGA-49-6743","TCGA-49-6744","TCGA-49-6745","TCGA-50-7109","TCGA-55-7283","TCGA-55-7570","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7903","TCGA-55-7910","TCGA-55-7911","TCGA-55-7914","TCGA-78-7163","TCGA-78-7540","TCGA-86-7711","TCGA-86-7713","TCGA-91-6835","TCGA-91-6836","TCGA-93-7348"
"hsa-let-7a-1",29090.641554,20447.447736,16160.973288,20536.909986,12010.416995,23261.307152,16320.586446,15977.252816,22370.541156,14438.214188,21562.459723,17214.026857,25698.456606,24748.012348,25881.945803,21815.089461,12103.730872,16516.764249,17891.377416,13302.603617,18990.029109,25970.035062,28670.911693,19517.3197,29925.605196,26283.38272,15825.609132,21192.22307,10031.258328,15787.707713,16920.783147,13780.426675,18411.483574,17290.667139,23487.169086,26493.192496,25374.144734,18384.016812,17699.368619,23648.719899
"hsa-let-7a-2",58004.708652,41485.487024,32345.616024,41325.174609,23853.192736,47242.876118,32574.983613,31827.703227,44819.488484,28824.842987,43340.687478,34413.39228,51332.412266,49540.408388,51712.875599,43469.370757,24136.672365,33169.017047,35840.367543,26745.725708,38025.493926,52039.716751,57364.624129,38975.782145,59947.569376,52633.914932,31857.767078,42507.784326,20004.373822,31364.353433,34135.730093,27721.97417,36858.093635,34613.245283,46763.471963,53071.806617,50826.144754,36427.073059,35391.827787,47354.106401
"hsa-let-7a-3",29478.737493,20646.042258,16418.70728,20829.470301,12148.18159,23546.810171,16307.598952,16000.607214,22643.680911,14578.90161,21648.111231,17331.69426,25648.234496,24968.866816,25990.289077,21770.270918,12108.324873,16570.030917,17949.647806,13471.902983,19082.09883,26078.042064,28791.677006,19453.59296,29969.691006,26534.380253,15922.423037,21282.847174,9993.164747,15600.999027,17065.434897,13714.623577,18459.062309,17209.781609,23543.373248,26547.975566,25612.279975,18371.37401,17677.014516,23852.378815
"hsa-let-7b",265816.288994,145695.690888,177168.450203,145606.444568,111763.602594,56910.268523,23261.385221,18843.70578,27469.612802,18132.096445,18789.031115,10096.339403,23879.300186,23452.221335,26997.110145,19751.128206,13489.86626,18433.271617,18583.650697,21065.167652,25927.412711,17458.269868,28225.589604,12595.66421,30191.694548,22990.187948,24751.401742,20808.594579,12068.262464,11666.361499,18664.01032,17003.810774,20135.469296,16912.831991,21965.632564,22708.165258,25177.485447,13267.237818,14780.532503,18006.345381
"hsa-let-7c",13495.07063,8350.055944,10577.613436,10048.004615,8498.249726,1719.864711,2127.758454,3130.387605,3337.603301,2287.175521,4022.137431,3347.443397,2810.140402,3065.362739,4452.242355,3827.657504,2074.609082,4239.070636,3825.194617,2956.71937,4398.076721,2925.905163,4435.294795,2605.386243,3840.818736,3782.18082,3113.774877,3015.384966,2032.377385,1244.724578,2975.197201,2227.144552,2901.001848,2898.804445,3329.056988,2931.810064,3805.067237,4400.68279,2558.935067,3730.515796
"hsa-let-7d",19426.868746,13940.556636,11772.920573,16826.338669,29659.223506,7251.228964,836.832785,648.982796,657.052261,571.626395,592.798593,438.715207,615.467031,593.707882,564.331711,551.67203,613.299132,435.967183,349.490805,349.885356,375.968005,598.557632,501.45909,753.711606,754.024798,750.314273,615.901225,657.939118,327.728179,409.72184,658.454768,625.129429,500.13428,562.209837,463.986144,498.209559,497.184205,590.063271,655.584857,307.405664
"hsa-let-7e",1852.192466,1784.75469,2235.447892,2694.851351,1183.447667,1706.171521,2395.175662,1690.499131,2248.035252,1374.382127,3395.324124,2268.136319,3621.243887,3393.528462,3294.126392,3401.2081,1537.946239,2630.007545,2488.92172,2046.453112,2552.887664,4485.002053,4764.41172,2695.365859,3589.844519,3289.942517,2516.599746,3035.704271,1540.399554,2172.179684,2165.378842,1713.78362,2163.531457,2410.610409,3221.075246,3661.806959,2917.727877,3322.291295,2323.607334,4127.288527
"hsa-let-7f-1",0,3.89401,3.944908,0,0,3.423298,22.063093,29.342705,31.618837,32.827065,45.284649,44.610858,54.161099,43.167701,38.744116,43.279709,25.058187,20.623761,22.887241,17.870489,24.165805,63.719612,53.46381,41.496482,51.171029,48.401201,22.845834,34.136434,17.735878,29.088672,37.956619,30.482317,25.090348,49.639339,48.021694,54.78307,43.5849,39.508756,43.082452,54.749311
"hsa-let-7f-2",1171.645085,1016.336671,674.579276,1114.613594,494.624691,1891.714251,24973.387372,31239.651457,41038.580536,18565.547694,34045.85962,36608.22143,41187.546098,36418.187403,34735.940444,41747.607738,25970.722849,32255.015671,28324.144895,24290.132462,31270.052875,58137.141326,40522.108701,41402.479457,41416.414092,41008.2525,23586.638707,50882.589362,20319.455549,26347.572201,31677.113223,25216.617992,29313.518773,39283.775249,32321.551117,43726.381045,37971.938354,40686.314503,40371.102486,50996.000744
"hsa-let-7g",172.895821,350.460921,145.961598,278.138327,215.775872,508.702022,826.035952,984.178293,1283.340248,978.447524,1149.328486,1176.172789,1491.071461,1360.694562,1701.585458,1300.891889,969.543026,791.488041,721.211172,561.885784,791.679773,1955.197882,1594.479516,1544.050209,1727.691399,1508.472219,607.661744,1240.696806,603.790975,987.887387,1022.977178,867.536429,977.22261,1624.358733,1150.106157,1525.10072,1305.262314,1133.703754,1160.990791,1377.893166
