Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-05-4249,2.8976,2416.6072,3.2196,2.2537,407.5972,18.3515,897.9373,4.5074,3.8635,3.5415,345.7815,3359.6184,23.5028,383.7724,140.3731,2664.3529,2.2537,2543.4581,125.0963,1607.5299,1
TCGA-05-4382,31.5881,5.9826,1.4358,0,1.9144,0.7179,133.771,0.7179,173.7348,25.6055,632.7202,767.4484,5541.0876,33.9812,180.6746,118.4197,901.9373,1082.3727,196.3514,93.0893,1
TCGA-05-4389,1.6779,354.0268,0.3356,0,96.3087,1.0067,127.1812,2.6846,41.9463,15.4362,19696.3087,1513.4228,110.4027,728.8591,66.7785,1695.5772,1189.2617,2178.5235,17.8188,102.0134,1
TCGA-05-4390,0,1.916,0,2.5547,1.2773,0.6387,26.1855,0,1.2773,7.0254,84.9433,5009.7397,1811.2726,828.357,66.4218,1528.373,604.1833,10029.0596,890.1421,212.039,1
TCGA-05-4403,27.8009,29475.6742,39.1993,6.9502,30437.0309,120.6561,3234.362,11.9544,185.1543,34.4732,978.3153,1565.4712,114.2619,39.7554,20.0167,37.9121,0.278,9883.236,1026.2441,83.9589,1
TCGA-05-4405,1.3253,16773.1846,1.3253,1.9879,179.5731,54.9984,467.8177,8.6142,7.2889,16.5658,5.301,1842.1149,3006.3579,51.0226,263.0646,1722.384,90.7805,1207.3141,5.6721,410.8314,1
TCGA-05-4410,3.0581,1508.4098,0,0,32.8746,6.1162,72.63,3.0581,1.5291,14.526,116.9725,1025.9939,203.3639,304.2813,624.6177,2133.5321,455.6575,19.1131,690.5505,172.0183,1
TCGA-05-4417,4.4476,2592.3443,0.6354,0,35.5812,10.8014,104.8375,1.2708,8.2599,32.4043,1382.5836,2335.016,2710.5247,267.4944,684.3027,1699.3325,439.6819,2016.6914,11.9959,232.5485,1
TCGA-05-4420,1.3148,1.3148,0,0,9.9921,4.4702,73.889,0.263,1.5777,4.7331,15.777,2837.4967,380.2261,79.9369,98.3434,615.3984,4182.4875,33.3947,88.8036,3.9443,1
TCGA-05-4422,1.5221,174.7336,0.3044,0,3392.3896,1.5221,99.239,0,0.6088,2.1309,666.0578,87.0624,20.0913,1012.7854,709.589,3555.0472,965.2968,12028.0061,81.7321,3.9574,1
